Term;Count;%;PValue;Genes;List Total;Pop Hits;Pop Total;Fold Enrichment;Bonferroni;Benjamini;FDR
response to endoplasmic reticulum stress;11;1,558073654;2,06E-07;AT4G14420, AT2G41490, AT5G42020, AT1G56340, AT4G30500, AT1G77510, AT4G24920, AT2G32920, AT2G47470, AT4G08230, AT1G21750;610;44;22569;9,249590164;1,84E-04;1,84E-04;1,83E-04
tricarboxylic acid cycle;11;1,558073654;3,63E-06;AT5G03290, AT3G55410, AT3G47833, AT4G35260, AT5G08300, AT2G20420, AT4G26910, AT4G32210, AT5G66760, AT3G27380, AT5G09600;610;59;22569;6,897999444;0,00323037;0,001617796;0,001612349
endoplasmic reticulum unfolded protein response;7;0,991501416;3,14E-04;AT5G07340, AT5G42020, AT1G56340, AT1G27350, AT5G28540, AT5G50460, AT5G61790;610;35;22569;7,399672131;0,243933545;0,093194043;0,092880259
response to auxin;21;2,974504249;5,14E-04;AT5G18030, AT2G33310, AT3G23030, AT3G28860, AT3G50340, AT4G27260, AT4G38825, AT5G54500, AT3G04730, AT2G34680, AT5G47230, AT1G67050, AT5G66580, AT4G32280, AT5G56860, AT1G29440, AT4G37390, AT3G62980, AT1G75580, AT3G07390, AT5G18060;610;322;22569;2,412936565;0,367246027;0,114389019;0,114003871
mitochondrial electron transport, succinate to ubiquinone;4;0,566572238;0,001454358;AT4G32210, AT5G66760, AT3G27380, AT5G09600;610;9;22569;16,44371585;0,726588159;0,243601546;0,242781339
response to cadmium ion;20;2,83286119;0,001758541;AT3G53880, AT5G42020, AT5G51830, AT1G56340, AT1G56450, AT5G15650, AT4G24460, AT4G13430, AT1G75950, AT2G24200, AT3G17240, AT1G47640, AT1G79930, AT5G08300, AT2G20420, AT1G77510, AT3G06050, AT2G47470, AT4G17410, AT2G27020;610;331;22569;2,235550493;0,791588124;0,243601546;0,242781339
polysaccharide transport;3;0,424929178;0,002141797;AT2G18840, AT4G30260, AT5G65020;610;3;22569;36,99836066;0,851977067;0,243601546;0,242781339
regulation of growth;12;1,699716714;0,002187219;AT5G18030, AT4G39730, AT4G28556, AT4G31500, AT2G26710, AT1G29440, AT3G50340, AT5G39860, AT1G48605, AT1G78370, AT5G23800, AT5G18060;610;147;22569;3,020274339;0,857860559;0,243601546;0,242781339
transmembrane transport;19;2,69121813;0,00313936;AT1G15520, AT4G25960, AT4G19030, AT3G28345, AT4G39390, AT3G28860, AT5G52860, AT1G72820, AT3G53480, AT3G13090, AT5G46050, AT2G25810, AT5G61810, AT5G64410, AT1G71330, AT3G04090, AT5G01500, AT1G09930, AT2G07680;610;323;22569;2,176374156;0,939285293;0,294847671;0,293854918
Golgi organization;6;0,849858357;0,003382904;AT3G22845, AT1G14010, AT1G21900, AT4G04910, AT3G07680, AT3G21660;610;38;22569;5,841846419;0,951163484;0,294847671;0,293854918
